链条,环节,代码,名称,传导逻辑
原油-油品,上游,SC0,原油,地缘/供给冲击起点
原油-油品,中游,FU0,燃油,原油下游燃料
原油-油品,中游,LU0,低硫油,船燃/原油下游
原油-油品,下游,BU0,沥青,原油最重质下游
原油-油品,下游,PG0,液化气,油气伴生/PDH原料
芳烃-聚酯,中游,PX0,PX,石脑油重整/歧化产物
芳烃-聚酯,中游,BZ0,纯苯,芳烃链核心
芳烃-聚酯,下游,TA0,PTA,PX直接下游
芳烃-聚酯,下游,EG0,乙二醇,乙烯/煤制双路线
芳烃-聚酯,下游,PF0,短纤,聚酯直接产品
芳烃-聚酯,下游,PR0,瓶片,聚酯直接产品
芳烃-聚酯,下游,EB0,苯乙烯,乙烯+纯苯下游
烯烃链,中游,L0,塑料,乙烯下游
烯烃链,中游,PP0,聚丙烯,丙烯下游
烯烃链,中游,PL0,丙烯,液化气/石脑油下游
煤化工-氯碱,上游,JM0,焦煤,煤化工成本端
煤化工-氯碱,中游,MA0,甲醇,煤制核心
煤化工-氯碱,中游,UR0,尿素,煤制合成氨下游
煤化工-氯碱,中游,SH0,烧碱,氯碱链
煤化工-氯碱,下游,V0,PVC,电石法/乙烯法
纯碱-玻璃-建材,上游,SA0,纯碱,玻璃原料
纯碱-玻璃-建材,下游,FG0,玻璃,地产/光伏需求
纯碱-玻璃-建材,下游,LG0,原木,建材/家具需求
黑色-炉料,上游,I0,铁矿,炼钢原料
黑色-炉料,上游,JM0,焦煤,炼焦原料
黑色-炉料,中游,J0,焦炭,焦煤下游
黑色-炉料,辅料,SF0,硅铁,铁合金辅料
黑色-炉料,辅料,SM0,锰硅,铁合金辅料
黑色-成材,下游,RB0,螺纹,建筑需求
黑色-成材,下游,HC0,热卷,制造需求
有色-铜,中游,CU0,沪铜,精矿冶炼
有色-铜,中游,BC0,国际铜,保税/国际定价
有色-铝,上游,AO0,氧化铝,电解铝原料
有色-铝,下游,AL0,沪铝,电解铝
有色-铝,下游,AD0,铸造铝,再生铝/合金
有色-铅锌,中游,PB0,沪铅,铅矿冶炼
有色-铅锌,中游,ZN0,沪锌,锌矿冶炼
有色-镍,中游,NI0,沪镍,镍矿/不锈钢原料
有色-镍,下游,SS0,不锈钢,镍铬下游
有色-锡,中游,SN0,沪锡,锡矿/电子焊料
贵金属,中游,AU0,沪金,避险/利率
贵金属,中游,AG0,沪银,避险/光伏银浆
贵金属,中游,PT0,铂,汽车/氢能
贵金属,中游,PD0,钯,汽车尾气
新能源金属,上游,LC0,碳酸锂,锂矿下游/电池
新能源-硅,上游,SI0,工业硅,硅料原料
新能源-硅,下游,PS0,多晶硅,光伏料
油脂油料,上游,A0,豆一,国产大豆
油脂油料,上游,B0,豆二,进口大豆
油脂油料,中游,M0,豆粕,压榨饲料
油脂油料,中游,Y0,豆油,压榨油脂
油脂油料,中游,RM0,菜粕,菜籽压榨
油脂油料,中游,OI0,菜油,菜籽压榨
油脂油料,中游,P0,棕榈,进口油脂
油脂油料,中游,PK0,花生,油料
油脂油料,下游,LH0,生猪,饲料需求
油脂油料,下游,JD0,鸡蛋,饲料需求
软商品-纺织,上游,CF0,棉花,纺织原料
软商品-纺织,下游,CY0,棉纱,棉花下游
软商品-糖,中游,SR0,白糖,糖料/进口
软商品-果,中游,AP0,苹果,生鲜
软商品-果,中游,CJ0,红枣,生鲜
玉米-淀粉-养殖,上游,C0,玉米,饲料/深加工
玉米-淀粉-养殖,下游,CS0,淀粉,玉米深加工
造纸,上游,SP0,纸浆,木浆/废纸
造纸,下游,OP0,胶版纸,纸浆下游
合成橡胶,中游,RU0,橡胶,天胶
合成橡胶,中游,NR0,20号胶,标胶
合成橡胶,中游,BR0,丁二烯胶,丁二烯下游
航运,下游,EC0,集运,运价/地缘
